"";"p_sr";"p_mr";"p_pr"
"71";27171,789124542;13487,7003020151;29315,1701804829
"72";14339,8048188566;22076,8881579032;14021,505539342
"73";14228,2223466333;-3517,51220425311;13945,5310391403
"74";15344,0470688668;7843,48312844243;14759,4507935998
"75";29626,6035134557;21802,8707089499;33288,9283171503
"76";38330,0363468771;28376,6114692688;48342,5994575999
"77";13223,9800966231;24491,593171455;13317,7169590854
"78";16125,1243744303;22141,960024571;15398,8418830613
"79";17129,3666244404;27063,4889410511;16301,2942617868
"80";13781,8924577399;14239,5851896107;13653,9636075365
"81";16013,5419022069;25931,8214857001;15304,088695771
"82";13781,8924577399;1740,01161023136;13653,9636075365
"83";13781,8924577399;-2629,03908481076;13653,9636075365
"84";16013,5419022069;29808,9164120425;15304,088695771
"85";11773,4079577196;32328,9049359206;12595,5451689593
"86";13781,8924577399;10769,4694952499;13653,9636075365
"87";18245,1913466739;25666,9796794932;17404,9265473468
"88";17687,2789855572;18645,521693348;16840,1977815795
"89";13781,8924577399;5139,58849024493;13653,9636075365
"90";13223,9800966231;12660,1785929371;13317,7169590854
"91";24940,139680075;21467,8589315657;25911,598978832
"92";78475,5496620988;59360,5033911709;61809,1687868378
"93";78475,5496620988;59360,5033911709;61809,1687868378
"94";16158,5991160973;16607,3136353567;15427,4866271255
"95";16571,4542633237;21390,9256389011;15788,9974218802
"96";16013,5419022069;28229,9578424431;15304,088695771
"97";13112,3976243998;36337,7115907166;13254,2918295819
"98";28287,6138467755;18323,4924049238;31095,3267338399
"99";17129,3666244404;25831,3845403446;16301,2942617868
"100";19918,9284300242;9889,96403374337;19246,2499813828
"101";14339,8048188566;16558,083389028;14021,505539342
"102";14339,8048188566;38753,8586657392;14021,505539342
"103";41677,5105135776;28362,8611768363;54094,4211022304
"104";13781,8924577399;9921,54209808726;13653,9636075365
"105";13781,8924577399;41143,0706631802;13653,9636075365
"106";14897,7171799734;21449,3991192067;14419,5613205905
"107";16236,7068466536;28855,7160870694;15494,7156007886
"108";16571,4542633237;23208,4314313177;15788,9974218802
"109";14897,7171799734;34625,8288292484;14419,5613205905
"110";19361,0160689074;17450,6097969739;18608,7340811599
"111";14562,9697633033;-1222,56084787566;14177,1099502073
"112";13781,8924577399;123,78032796178;13653,9636075365
"113";11974,2564077216;5730,15606903564;12682,0965340185
"114";19361,0160689074;15133,6527270386;18608,7340811599
"115";14897,7171799734;9654,22607201617;14419,5613205905
"116";13000,8151521764;2056,48587324657;13192,1560202404
"117";20887,4642889229;10378,9599368945;20406,4301845238
"118";11555,822136884;5005,34811656829;12506,7706931372
"119";13781,8924577399;9608,09268700425;13653,9636075365
"120";12108,1553743896;17815,8948815363;12742,235247892
"121";24382,2273189582;8983,14944777358;25097,9191064572
"122";13223,9800966231;14468,9704920668;13317,7169590854
"123";14897,7171799734;33944,6351474626;14419,5613205905
"124";11661,8254854962;2889,63177251909;12549,3688163215
"125";16571,4542633237;19137,8549931524;15788,9974218802
"126";12108,1553743896;43215,1425747648;12742,235247892
"127";43909,1599580446;34425,027883159;57783,8597398328
"128";12889,2326799531;1350,87897097319;13131,315782532
"129";24940,139680075;24852,5894922931;25911,598978832
"130";19361,0160689074;24230,4981494229;18608,7340811599
"131";13781,8924577399;22541,1751010204;13653,9636075365
"132";15455,6295410901;27055,428749634;14847,3495173706
"133";14897,7171799734;33671,1397159891;14419,5613205905
"134";21034,7531522577;23480,754700087;20588,5988789047
"135";16013,5419022069;3315,38587507792;15304,088695771
"136";16571,4542633237;6250,3325347174;15788,9974218802
"137";78475,5496620988;77264,1836741129;61809,1687868378
"138";12666,0677355064;12012,8351099771;13013,5470279001
"139";15196,758205532;6372,01926245634;14645,2082612378
"140";13558,7275132932;-2133,74995124806;13515,6657538545
"141";13223,9800966231;14530,2213600632;13317,7169590854
"142";18803,1037077907;23460,0263620839;17994,6991251774
"143";13781,8924577399;32206,8201360442;13653,9636075365
"144";24820,1885224349;45146,7718010424;25735,3090336133
"145";16013,5419022069;10981,5256488351;15304,088695771
"146";15455,6295410901;31779,169001935;14847,3495173706
"147";16013,5419022069;3142,76532709505;15304,088695771
"148";12666,0677355064;-3959,14500221517;13013,5470279001
"149";13223,9800966231;7969,96605957393;13317,7169590854
"150";23173,420922621;65112,8117659669;23392,4195969486
"151";12666,0677355064;27757,0468677199;13013,5470279001
"152";17129,3666244404;29691,0324853808;16301,2942617868
"153";12108,1553743896;845,0347083956;12742,235247892
"154";18245,1913466739;26424,7865133323;17404,9265473468
"155";14339,8048188566;32457,4329581866;14021,505539342
"156";17687,2789855572;27096,9482476506;16840,1977815795
"157";17343,5045468842;59058,8441757876;16505,0325656459
"158";14897,7171799734;55276,7626654301;14419,5613205905
"159";12889,2326799531;21885,14521675;13131,315782532
"160";20476,8407911409;21571,9973376738;19906,4653919349
"161";12666,0677355064;3079,43657299038;13013,5470279001
"162";17687,2789855572;17934,6273056483;16840,1977815795
"163";13223,9800966231;207,065963955596;13317,7169590854
"164";17129,3666244404;22555,5450799344;16301,2942617868
"165";16013,5419022069;13486,7745039938;15304,088695771
"166";21592,6655133744;17459,5797020672;21291,8690083808
"167";13223,9800966231;31065,4598641833;13317,7169590854
"168";11773,4079577196;17134,2568309437;12595,5451689593
"169";14897,7171799734;8660,04697874654;14419,5613205905
"170";14897,7171799734;5785,03204299789;14419,5613205905
"171";73199,5589166742;68365,5004446944;71301,9064001564
"172";15455,6295410901;1655,3226392651;14847,3495173706
"173";78475,5496620988;68136,8110061372;61809,1687868378
"174";13223,9800966231;44825,4777483111;13317,7169590854
"175";13781,8924577399;10572,8965161918;13653,9636075365
"176";14339,8048188566;3870,76218088344;14021,505539342
"177";14339,8048188566;4591,52452127449;14021,505539342
"178";13781,8924577399;30326,089993922;13653,9636075365
"179";16013,5419022069;22648,7932784315;15304,088695771
"180";14536,0225962614;-963,692662434652;14158,0632095858
"181";11550,2430132729;-3441,06385522429;12504,5630529724
"182";17511,3580598498;62465,8160952292;16667,4459911563
"183";78475,5496620988;79704,3228843287;61809,1687868378
"184";13781,8924577399;3514,92594036367;13653,9636075365
"185";17687,2789855572;4805,32846907061;16840,1977815795
"186";16571,4542633237;11945,372069886;15788,9974218802
"187";25498,0520411917;54976,3085827259;26740,9454563333
"188";23824,3149578415;19799,5498794345;24300,6872731204
"189";15678,7944855368;14050,6607750375;15026,6148312354
"190";52835,7577359126;67338,176099739;70297,1529292375
"191";14451,38729108;2793,75076525286;14098,7005935215
"192";17129,3666244404;9477,76595095638;16301,2942617868
"193";26065,8171346058;48018,213034776;27600,2152705755
"194";24940,139680075;21930,87608926;25911,598978832
"195";17129,3666244404;1115,54057179764;16301,2942617868
"196";17129,3666244404;25864,8289693911;16301,2942617868
"197";13444,9133916254;10369,0894304672;13447,0780000105
"198";39438,4185182133;61763,8445939058;50267,6883502156
"199";16013,5419022069;8346,80550580472;15304,088695771
"200";10601,7919993744;-3949,27684312128;12179,9350180736
"201";42399,4491088626;53980,7479683328;55303,9835805378
"202";32224,979911132;69905,8612529235;37685,6512879384
"203";19361,0160689074;28048,992030343;18608,7340811599
"204";17129,3666244404;1130,51590605732;16301,2942617868
"205";13781,8924577399;-2764,61398714781;13653,9636075365
"206";13223,9800966231;10527,9578477349;13317,7169590854
"207";19361,0160689074;23362,6082537035;18608,7340811599
"208";11311,4565227149;-1770,52061672043;12413,3126103943
"209";19361,0160689074;24906,5527248429;18608,7340811599
"210";14897,7171799734;8926,8792985715;14419,5613205905
"211";10769,1657077094;-6726,52448948473;12229,8243332011
"212";17240,9490966638;26768,9099570019;16406,9714372396
"213";16571,4542633237;21251,2700452823;15788,9974218802
"214";29041,9113590053;34735,8494021548;32323,9706581374
"215";12108,1553743896;1899,02518039756;12742,235247892
"216";16013,5419022069;30160,732428465;15304,088695771
"217";16906,2016799937;41336,2925554123;16093,1389639388
"218";12108,1553743896;4219,28235738911;12742,235247892
"219";13781,8924577399;12759,9246803382;13653,9636075365
"220";10988,1686259422;16597,3954711528;12299,9269364375
"221";24940,139680075;63894,5319232708;25911,598978832
"222";24940,139680075;18738,321524973;25911,598978832
"223";11103,9131243795;28144,5971485022;12339,170921889
"224";13476,7478709507;21958,3012148337;13466,1295085994
"225";22348,302015271;53683,9763949858;22276,6852253694
"226";16013,5419022069;22530,5974644199;15304,088695771
"227";15455,6295410901;29437,0249615945;14847,3495173706
"228";15455,6295410901;29399,4301130734;14847,3495173706
"229";78475,5496620988;81510,3622721024;61809,1687868378
"230";21592,6655133744;50083,9408247387;21291,8690083808
"231";14339,8048188566;980,103384014219;14021,505539342
"232";16013,5419022069;19619,049468671;15304,088695771
"233";22708,4902356079;24372,5279415259;22758,6934592063
"234";13558,7275132932;40180,2437808737;13515,6657538545
"235";18659,787180467;23856,7642212138;17840,8513422326
"236";11996,5729021663;1248,24548498821;12691,9846362158
"237";27171,789124542;61324,8848822052;29315,1701804829
"238";19361,0160689074;26068,7002724456;18608,7340811599
"239";18460,1326629178;61736,3423619866;17629,219436922
"240";19361,0160689074;24619,2825146336;18608,7340811599
"241";11077,1333310459;11697,8955651633;12329,9566670588
"242";21592,6655133744;16411,0645015091;21291,8690083808
"243";12666,0677355064;33067,4183386592;13013,5470279001
"244";16013,5419022069;10548,3826845121;15304,088695771
"245";13335,5625688465;11854,3154420406;13382,4251572796
"246";22673,1409084076;44803,0613732655;22711,03852408
"247";13223,9800966231;14177,4312260905;13317,7169590854
"248";30508,1050440202;63392,2882938897;34762,3412052645
"249";78475,5496620988;84694,8704471067;61809,1687868378
"250";16571,4542633237;7053,03323855996;15788,9974218802
"251";13223,9800966231;-336,661161208525;13317,7169590854
"252";12666,0677355064;1857,48654112499;13013,5470279001
"253";12052,3641382779;-1603,77684024256;12716,9413534115
"254";14897,7171799734;26993,6310797585;14419,5613205905
"255";16013,5419022069;10905,8581663724;15304,088695771
"256";11130,6929177131;26137,1761898026;12348,465923086
"257";18245,1913466739;26015,6721544387;17404,9265473468
"258";16236,7068466536;24355,9048523763;15494,7156007886
"259";17129,3666244404;5935,74580657948;16301,2942617868
"260";78475,5496620988;87196,4058632515;61809,1687868378
"261";18245,1913466739;8031,2316752756;17404,9265473468
"262";11550,2430132729;22234,7733839378;12504,5630529724
"263";15046,6128309082;-2138,35294786282;14530,8530682228
"264";20476,8407911409;23327,0926775187;19906,4653919349
"265";21592,6655133744;9372,67715929355;21291,8690083808
"266";19361,0160689074;24243,0021317648;18608,7340811599
"267";10546,0007632627;1385,59651980177;12164,0191935856
"268";78475,5496620988;84999,1982545741;61809,1687868378
"269";16013,5419022069;29662,0037596095;15304,088695771
"270";13781,8924577399;4967,78786257934;13653,9636075365
"271";78475,5496620988;73914,1039671684;61809,1687868378
"272";15678,7944855368;10679,31958446;15026,6148312354
"273";13781,8924577399;2908,22272267379;13653,9636075365
"274";21592,6655133744;22576,5081286291;21291,8690083808
"275";13558,7275132932;5847,84444274288;13515,6657538545
"276";13781,8924577399;8347,40323650464;13653,9636075365
"277";78475,5496620988;78068,2355809892;61809,1687868378
"278";15455,6295410901;4410,51760307606;14847,3495173706
"279";12108,1553743896;6982,9921270702;12742,235247892
"280";15455,6295410901;10679,8629506305;14847,3495173706
"281";19361,0160689074;26638,9593597166;18608,7340811599
"282";14005,0574021866;17129,4923000755;13797,2687065552
"283";17687,2789855572;25775,3487906735;16840,1977815795
"284";11773,4079577196;14412,0472532306;12595,5451689593
"285";24940,139680075;19069,6927619372;25911,598978832
"286";14116,6398744099;29426,0257646106;13870,7833443876
"287";12219,737846613;-5214,80121705029;12793,8314429717
"288";16571,4542633237;29554,2645174023;15788,9974218802
"289";26725,4592356486;20239,5079246936;28616,8032505665
"290";20476,8407911409;22495,0322082825;19906,4653919349
"291";13781,8924577399;12791,2032949571;13653,9636075365
"292";14897,7171799734;34164,7792816013;14419,5613205905
"293";16571,4542633237;13379,7477176767;15788,9974218802
"294";16906,2016799937;26627,7743058912;16093,1389639388
"295";10434,4182910394;19095,8959918581;12133,2631540446
"296";19361,0160689074;21814,2182846284;18608,7340811599
"297";14339,8048188566;32130,1384639768;14021,505539342
"298";19361,0160689074;26577,7957767928;18608,7340811599
"299";13781,8924577399;35769,3621985596;13653,9636075365
"300";15790,3769577602;1238,51200007275;15117,9689183868
"301";12108,1553743896;10273,2812539116;12742,235247892
"302";11550,2430132729;44750,2703860272;12504,5630529724
"303";16013,5419022069;29875,5294170622;15304,088695771
"304";17910,4439300039;16740,8207209064;17063,0340186685
"305";14339,8048188566;4607,36187880207;14021,505539342
"306";13335,5625688465;11648,9128260752;13382,4251572796
"307";12378,9437179813;6935,62888848968;12869,7661117624
"308";72892,0376232266;72668,7091275007;71705,5862938311
"309";13558,7275132932;27331,8504011724;13515,6657538545
"310";30519,2632912425;25476,9153077956;34781,1243891618
"311";12907,0524007672;15382,8695706548;13140,9447809756
"312";19918,9284300242;14826,6855108384;19246,2499813828
"313";15267,7023413716;5441,74417431653;14699,9809310006
"314";78475,5496620988;84387,7842290364;61809,1687868378
"315";12666,0677355064;2529,79968999792;13013,5470279001
"316";19426,9613099914;39178,8691896833;18682,8799448866
"317";24940,139680075;22957,2581529366;25911,598978832
"318";14565,2014127478;57615,0071056774;14178,6904802915
"319";11773,4079577196;6882,68361312617;12595,5451689593
"320";24940,139680075;19911,3564176243;25911,598978832
"321";17406,0911555543;22093,1629159013;16565,3134917347
"322";17798,8614577805;27045,666270812;16951,1025209401
"323";16571,4542633237;16243,6668921802;15788,9974218802
"324";19361,0160689074;19998,7796161426;18608,7340811599
"325";14228,2223466333;5218,52484849002;13945,5310391403
"326";11851,5156882759;17227,3401316088;12628,6807687697
"327";13558,7275132932;38760,09206241;13515,6657538545
"328";14339,8048188566;37760,8535884498;14021,505539342
"329";14897,7171799734;26650,1506729024;14419,5613205905
"330";17798,8614577805;28515,8744892823;16951,1025209401
"331";13223,9800966231;13467,8055453831;13317,7169590854
"332";46810,3042358517;65001,9142820882;62311,8738322234
"333";14339,8048188566;19671,5538908606;14021,505539342
"334";12889,2326799531;5357,9305018913;13131,315782532
"335";13335,5625688465;40367,9959238162;13382,4251572796
"336";16571,4542633237;15650,7233578702;15788,9974218802
"337";14897,7171799734;18490,0341459634;14419,5613205905
"338";15678,7944855368;33457,0310625797;15026,6148312354
"339";14897,7171799734;23333,9788309559;14419,5613205905
"340";14005,0574021866;24266,0505946418;13797,2687065552
"341";13558,7275132932;235,257430357859;13515,6657538545
"342";13583,5322968684;27584,1549128713;13530,7886577423
"343";15455,6295410901;32503,0114182513;14847,3495173706
"344";11773,4079577196;4550,9978734497;12595,5451689593
"345";16236,7068466536;29633,4111229666;15494,7156007886
"346";19361,0160689074;25448,9268989209;18608,7340811599
"347";17687,2789855572;13019,5184547547;16840,1977815795
"348";27171,789124542;22933,4008548213;29315,1701804829
"349";22708,4902356079;17106,4210387506;22758,6934592063
"350";18241,3417513822;25515,1399650667;17400,9432152731
"351";16906,2016799937;28684,6259950902;16093,1389639388
"352";15790,3769577602;20397,3405716931;15117,9689183868
"353";15594,1926550971;27999,6322266804;14958,1133649836
"354";13781,8924577399;9235,93623421527;13653,9636075365
"355";17129,3666244404;15694,4143621027;16301,2942617868
"356";23124,692857001;11721,0409571659;23325,4017477317
"357";19361,0160689074;5937,00442720018;18608,7340811599
"358";14897,7171799734;13212,9139507273;14419,5613205905
"359";14339,8048188566;18438,0556259528;14021,505539342
"360";12749,7545896739;38929,0993308732;13057,0969067316
"361";19361,0160689074;23631,0125740981;18608,7340811599
"362";16013,5419022069;11477,6730186529;15304,088695771
"363";22262,1603467145;10057,5185291562;22162,5932729132
"364";12666,0677355064;24141,4078729702;13013,5470279001
"365";15427,2541184037;14643,6130592898;14824,8868237248
"366";12666,0677355064;18040,800225486;13013,5470279001
"367";19137,8511244607;25381,4850098779;18360,258625159
"368";35817,9020419822;65174,7902430128;43943,8717684865
"369";19361,0160689074;10118,5372311305;18608,7340811599
"370";14339,8048188566;3289,29193142336;14021,505539342
"371";27171,789124542;12856,9289519275;29315,1701804829
"372";19361,0160689074;18540,9129212433;18608,7340811599
"373";19361,0160689074;23076,5910766777;18608,7340811599
"374";16348,289318877;9614,517404126;15591,7035974818
"375";18245,1913466739;14168,9241469996;17404,9265473468
"376";13223,9800966231;14065,7517288355;13317,7169590854
"377";19361,0160689074;24972,0138613293;18608,7340811599
"378";16013,5419022069;23985,0313405823;15304,088695771
"379";13112,3976243998;11589,5009084698;13254,2918295819
"380";12554,485263283;-4349,23262036871;12956,6310139192
"381";17129,3666244404;27860,1039741095;16301,2942617868
"382";12889,2326799531;10270,7227070909;13131,315782532
"383";17352,5315688871;19650,359922234;16513,7066284166
"384";22708,4902356079;22968,1391783133;22758,6934592063
"385";21592,6655133744;22477,5866706213;21291,8690083808
"386";12108,1553743896;-255,344301472418;12742,235247892
"387";11070,516490443;-3600,69629850332;12327,6924285647
"388";12163,9466105013;8962,03188366629;12767,8655382234
"389";14005,0574021866;16920,1880066851;13797,2687065552
"390";12554,485263283;8370,68661022745;12956,6310139192
"391";13781,8924577399;24847,3326846268;13653,9636075365
"392";21592,6655133744;22734,1916109314;21291,8690083808
"393";13223,9800966231;34817,1640597265;13317,7169590854
"394";11773,4079577196;15560,8516858844;12595,5451689593
"395";12984,4571617485;37124,3920948692;13183,1556484578
"396";24596,2982919187;71679,2672271254;25408,2259195798
"397";14674,5522355267;19970,0203468613;14256,7273579283
"398";12238,9188735882;16462,6253463933;12802,8359066658
"399";12497,8013673936;14009,6836160449;12928,2231095646
"400";17687,2789855572;20333,4755195603;16840,1977815795
"401";10546,0007632627;5505,46555158775;12164,0191935856
"402";11751,0914632749;2843,34820403997;12586,2005513593
"403";13781,8924577399;84,9147383412346;13653,9636075365
"404";17129,3666244404;27045,7875516023;16301,2942617868
"405";21592,6655133744;23114,3013499128;21291,8690083808
"406";16013,5419022069;8129,81096131913;15304,088695771
"407";13223,9800966231;12395,0522388956;13317,7169590854
"408";15790,3769577602;22341,793248619;15117,9689183868
"409";12442,9027910597;22450,9693690687;12901,0355774566
"410";16013,5419022069;7545,15860991366;15304,088695771
"411";17687,2789855572;26203,3318529194;16840,1977815795
"412";16013,5419022069;7953,65341681056;15304,088695771
"413";14339,8048188566;-738,981594980694;14021,505539342
"414";16013,5419022069;23512,301419274;15304,088695771
"415";13391,3538049582;22748,1948977653;13415,2584535508
"416";12221,9248630686;27988,4047061726;12794,8561315207
"417";11121,1637745852;9589,16916233674;12345,1492030764
"418";12985,6510942013;20871,4014419038;13183,8116226958
"419";19361,0160689074;25109,2043331573;18608,7340811599
"420";17611,4140626925;61471,253459827;16765,3832016882
"421";14897,7171799734;956,264513128437;14419,5613205905
"422";16013,5419022069;30030,4972284734;15304,088695771
"423";26055,9644023085;24028,5246572047;27585,1771050498
"424";13223,9800966231;14245,1695735455;13317,7169590854
"425";17687,2789855572;31686,53045204;16840,1977815795
"426";15455,6295410901;2983,68055333663;14847,3495173706
"427";18245,1913466739;17758,5871202042;17404,9265473468
"428";10992,3306521561;913,680389254354;12301,3118770528
"429";27171,789124542;20604,4363295045;29315,1701804829
"430";11773,4079577196;33878,7602235274;12595,5451689593
"431";24940,139680075;21788,544211478;25911,598978832
"432";17129,3666244404;27375,5189208593;16301,2942617868
"433";17687,2789855572;22873,3405737588;16840,1977815795
"434";16013,5419022069;19739,9018870806;15304,088695771
"435";13223,9800966231;15939,185845606;13317,7169590854
"436";16013,5419022069;30396,7887469055;15304,088695771
"437";16013,5419022069;28484,7537856791;15304,088695771
"438";18245,1913466739;9942,5302794883;17404,9265473468
"439";15790,3769577602;30962,3810601095;15117,9689183868
"440";13737,2594688505;30249,9224073021;13625,9018567965
"441";11661,8254854962;-6751,3280536104;12549,3688163215
"442";13781,8924577399;32099,9148141164;13653,9636075365
"443";16571,4542633237;12116,088748089;15788,9974218802
"444";16825,7841922623;11316,092694304;16019,1832587768
"445";13781,8924577399;22992,0924175913;13653,9636075365
"446";14381,0903335793;-1051,62695418112;14049,9257865537
"447";20476,8407911409;23542,9283653749;19906,4653919349
"448";16013,5419022069;30465,0163188372;15304,088695771
"449";18245,1913466739;20296,9489453221;17404,9265473468
"450";18245,1913466739;19013,6747621046;17404,9265473468
"451";20368,7396920509;63541,4074084619;19776,8057775248
"452";13781,8924577399;17815,0923569119;13653,9636075365
"453";21592,6655133744;21372,7565397518;21291,8690083808
"454";14339,8048188566;4941,74008796737;14021,505539342
"455";30519,2632912425;26529,1589707891;34781,1243891618
"456";13781,8924577399;28822,8659690041;13653,9636075365
"457";14897,7171799734;27763,2018041573;14419,5613205905
"458";13000,8151521764;4530,51232580189;13192,1560202404
"459";20777,8010352218;41511,5938215815;20271,7625794296
"460";27428,4288106557;49509,331924771;29720,3911745758
"461";21592,6655133744;23507,235313395;21291,8690083808
"462";13223,9800966231;3854,31241200399;13317,7169590854
"463";30519,2632912425;26610,0581947621;34781,1243891618
"464";14339,8048188566;1901,75044015702;14021,505539342
"465";17129,3666244404;24811,018973209;16301,2942617868
"466";11773,4079577196;2964,4257370932;12595,5451689593
"467";15455,6295410901;31133,3080869187;14847,3495173706
"468";14897,7171799734;10661,3276863908;14419,5613205905
"469";14116,6398744099;15740,6891224906;13870,7833443876
"470";18803,1037077907;14972,6728601763;17994,6991251774
"471";19361,0160689074;22700,374630698;18608,7340811599
"472";14005,0574021866;17439,5282906154;13797,2687065552
"473";16013,5419022069;29132,4628942795;15304,088695771
"474";15567,2120133135;32896,3497473467;14936,4062804063
"475";16013,5419022069;27943,0831938172;15304,088695771
"476";16013,5419022069;16437,2049054047;15304,088695771
"477";12889,2326799531;3425,17865045648;13131,315782532
"478";12108,1553743896;9347,66485590674;12742,235247892
"479";10546,0007632627;22713,327978964;12164,0191935856
"480";41677,5105135776;31829,5949038807;54094,4211022304
"481";22708,4902356079;24192,9988202387;22758,6934592063
"482";30519,2632912425;22961,5822891267;34781,1243891618
"483";13223,9800966231;1119,848182844;13317,7169590854
"484";78475,5496620988;81898,027801794;61809,1687868378
"485";78475,5496620988;67732,2669031937;61809,1687868378
"486";22708,4902356079;21291,6936077001;22758,6934592063
"487";10847,2734382658;2464,30721342657;12254,2011600449
"488";17129,3666244404;28806,2266580956;16301,2942617868
"489";18389,7129646976;27450,0503079193;17555,3292761108
"490";10769,1657077094;13763,4853719501;12229,8243332011
"491";23824,3149578415;26571,2013260787;24300,6872731204
"492";20700,0057355876;16859,7623595614;20176,7323778517
"493";15455,6295410901;10528,7920707772;14847,3495173706
"494";24940,139680075;13239,7078623241;25911,598978832
"495";13223,9800966231;2219,77849800605;13317,7169590854
"496";11773,4079577196;6050,09696034342;12595,5451689593
"497";12219,737846613;44909,1917076474;12793,8314429717
"498";17687,2789855572;26721,8410277367;16840,1977815795
"499";17129,3666244404;28600,6844030079;16301,2942617868
"500";17129,3666244404;27444,5828347504;16301,2942617868
"501";16013,5419022069;8506,40921575949;15304,088695771
"502";18245,1913466739;19200,3334197477;17404,9265473468
"503";16013,5419022069;589,807160131633;15304,088695771
"504";19361,0160689074;23933,4133868208;18608,7340811599
"505";13349,7223845716;10085,8223283971;13390,7280524556
"506";19361,0160689074;20557,8718663333;18608,7340811599
"507";19361,0160689074;6572,97563686501;18608,7340811599
"508";22182,1891888721;19264,0922411755;22057,0882581828
"509";75152,2521805828;81485,9025583277;68365,036760554
"510";26055,9644023085;11388,0955141215;27585,1771050498
"511";16013,5419022069;13426,584544125;15304,088695771
"512";16013,5419022069;29482,9335465245;15304,088695771
"513";22070,3947099515;65058,3765779743;21910,2721625445
"514";12666,0677355064;5061,58002916817;13013,5470279001
"515";17687,2789855572;17722,6377917891;16840,1977815795
"516";13502,9362771815;21457,1001737854;13481,8795332722
"517";15867,6255032804;8923,21306613833;15181,881109794
"518";16125,1243744303;8285,89904467482;15398,8418830613
"519";17798,8614577805;25698,5180882392;16951,1025209401
"520";12442,9027910597;2854,45118493959;12901,0355774566
"521";15790,3769577602;30525,788030196;15117,9689183868
"522";21985,5473980729;14913,0737356748;21799,3721858478
"523";17687,2789855572;27485,0682051033;16840,1977815795
